date,year,month,country,arrivals
2011-06-01,2011,6,"Korea, South",13490
2011-07-01,2011,7,"Korea, South",18780
2011-08-01,2011,8,"Korea, South",16280
2011-09-01,2011,9,"Korea, South",14340
2011-10-01,2011,10,"Korea, South",16610
2011-11-01,2011,11,"Korea, South",18100
2011-12-01,2011,12,"Korea, South",21020
2012-01-01,2012,1,"Korea, South",19910
2012-02-01,2012,2,"Korea, South",21880
2012-03-01,2012,3,"Korea, South",17570
2012-04-01,2012,4,"Korea, South",15410
2012-05-01,2012,5,"Korea, South",13470
2012-06-01,2012,6,"Korea, South",13960
2012-07-01,2012,7,"Korea, South",16280
2012-08-01,2012,8,"Korea, South",16230
2012-09-01,2012,9,"Korea, South",14400
2012-10-01,2012,10,"Korea, South",16900
2012-11-01,2012,11,"Korea, South",17930
2012-12-01,2012,12,"Korea, South",21330
2013-01-01,2013,1,"Korea, South",21380
2013-02-01,2013,2,"Korea, South",16560
2013-03-01,2013,3,"Korea, South",16590
2013-04-01,2013,4,"Korea, South",15290
2013-05-01,2013,5,"Korea, South",14020
2013-06-01,2013,6,"Korea, South",14540
2013-07-01,2013,7,"Korea, South",15900
2013-08-01,2013,8,"Korea, South",15030
2013-09-01,2013,9,"Korea, South",16230
2013-10-01,2013,10,"Korea, South",16600
2013-11-01,2013,11,"Korea, South",16650
2013-12-01,2013,12,"Korea, South",20080
2014-01-01,2014,1,"Korea, South",22100
2014-02-01,2014,2,"Korea, South",18510
2014-03-01,2014,3,"Korea, South",16450
2014-04-01,2014,4,"Korea, South",14700
2014-05-01,2014,5,"Korea, South",14710
2014-06-01,2014,6,"Korea, South",12620
2014-07-01,2014,7,"Korea, South",15500
2014-08-01,2014,8,"Korea, South",16260
2014-09-01,2014,9,"Korea, South",15230
2014-10-01,2014,10,"Korea, South",15790
2014-11-01,2014,11,"Korea, South",17590
2014-12-01,2014,12,"Korea, South",23360
2015-01-01,2015,1,"Korea, South",23980
2015-02-01,2015,2,"Korea, South",20860
2015-03-01,2015,3,"Korea, South",19410
2015-04-01,2015,4,"Korea, South",16380
2015-05-01,2015,5,"Korea, South",15600
2015-06-01,2015,6,"Korea, South",12460
2015-07-01,2015,7,"Korea, South",15410
2015-08-01,2015,8,"Korea, South",16820
2015-09-01,2015,9,"Korea, South",15290
2015-10-01,2015,10,"Korea, South",18470
2015-11-01,2015,11,"Korea, South",22370
2015-12-01,2015,12,"Korea, South",29730
2016-01-01,2016,1,"Korea, South",28110
2016-02-01,2016,2,"Korea, South",28180
2016-03-01,2016,3,"Korea, South",24410
2016-04-01,2016,4,"Korea, South",20570
2016-05-01,2016,5,"Korea, South",18930
2016-06-01,2016,6,"Korea, South",17790
2016-07-01,2016,7,"Korea, South",20700
2016-08-01,2016,8,"Korea, South",21090
2016-09-01,2016,9,"Korea, South",22020
2016-10-01,2016,10,"Korea, South",21850
2016-11-01,2016,11,"Korea, South",26220
2016-12-01,2016,12,"Korea, South",30230
2017-01-01,2017,1,"Korea, South",32420
2017-02-01,2017,2,"Korea, South",29750
2017-03-01,2017,3,"Korea, South",23710
2017-04-01,2017,4,"Korea, South",22940
2017-05-01,2017,5,"Korea, South",20010
2017-06-01,2017,6,"Korea, South",17780
2017-07-01,2017,7,"Korea, South",20090
2017-08-01,2017,8,"Korea, South",21190
2017-09-01,2017,9,"Korea, South",26370
2017-10-01,2017,10,"Korea, South",27940
2017-11-01,2017,11,"Korea, South",27310
2017-12-01,2017,12,"Korea, South",32700
2018-01-01,2018,1,"Korea, South",34530
2018-02-01,2018,2,"Korea, South",26640
2018-03-01,2018,3,"Korea, South",26270
2018-04-01,2018,4,"Korea, South",21610
2018-05-01,2018,5,"Korea, South",20010
2018-06-01,2018,6,"Korea, South",19750
2018-07-01,2018,7,"Korea, South",21960
2018-08-01,2018,8,"Korea, South",23840
2018-09-01,2018,9,"Korea, South",21410
2018-10-01,2018,10,"Korea, South",19300
2018-11-01,2018,11,"Korea, South",24070
2018-12-01,2018,12,"Korea, South",28600
2019-01-01,2019,1,"Korea, South",29770
2019-02-01,2019,2,"Korea, South",30930
2019-03-01,2019,3,"Korea, South",26130
2019-04-01,2019,4,"Korea, South",16700
2019-05-01,2019,5,"Korea, South",18830
2019-06-01,2019,6,"Korea, South",19160
2019-07-01,2019,7,"Korea, South",20930
2019-08-01,2019,8,"Korea, South",20960
2019-09-01,2019,9,"Korea, South",19980
2019-10-01,2019,10,"Korea, South",19820
2019-11-01,2019,11,"Korea, South",26010
2019-12-01,2019,12,"Korea, South",31260
2020-01-01,2020,1,"Korea, South",29440
2020-02-01,2020,2,"Korea, South",21060
2020-03-01,2020,3,"Korea, South",2720
2020-04-01,2020,4,"Korea, South",10
2020-05-01,2020,5,"Korea, South",30
2020-06-01,2020,6,"Korea, South",20
2020-07-01,2020,7,"Korea, South",20
2020-08-01,2020,8,"Korea, South",40
2020-09-01,2020,9,"Korea, South",30
2020-10-01,2020,10,"Korea, South",40
2020-11-01,2020,11,"Korea, South",50
2020-12-01,2020,12,"Korea, South",60
2021-01-01,2021,1,"Korea, South",60
2021-02-01,2021,2,"Korea, South",70
2021-03-01,2021,3,"Korea, South",70
2021-04-01,2021,4,"Korea, South",70
2021-05-01,2021,5,"Korea, South",80
2021-06-01,2021,6,"Korea, South",90
2021-07-01,2021,7,"Korea, South",70
2021-08-01,2021,8,"Korea, South",30
2021-09-01,2021,9,"Korea, South",10
2021-10-01,2021,10,"Korea, South",40
2021-11-01,2021,11,"Korea, South",210
2021-12-01,2021,12,"Korea, South",1260
2022-01-01,2022,1,"Korea, South",1450
2022-02-01,2022,2,"Korea, South",1750
2022-03-01,2022,3,"Korea, South",2530
2022-04-01,2022,4,"Korea, South",3620
2022-05-01,2022,5,"Korea, South",3880
2022-06-01,2022,6,"Korea, South",4460
2022-07-01,2022,7,"Korea, South",7080
2022-08-01,2022,8,"Korea, South",6970
2022-09-01,2022,9,"Korea, South",6550
2022-10-01,2022,10,"Korea, South",6330
2022-11-01,2022,11,"Korea, South",11700
2022-12-01,2022,12,"Korea, South",16190
2023-01-01,2023,1,"Korea, South",18300
2023-02-01,2023,2,"Korea, South",24950
2023-03-01,2023,3,"Korea, South",19050
2023-04-01,2023,4,"Korea, South",15700
2023-05-01,2023,5,"Korea, South",18690
2023-06-01,2023,6,"Korea, South",18210
2023-07-01,2023,7,"Korea, South",22950
2023-08-01,2023,8,"Korea, South",30000
2023-09-01,2023,9,"Korea, South",27700
2023-10-01,2023,10,"Korea, South",25100
2023-11-01,2023,11,"Korea, South",31250
2023-12-01,2023,12,"Korea, South",36110
2024-01-01,2024,1,"Korea, South",33210
2024-02-01,2024,2,"Korea, South",42020
2024-03-01,2024,3,"Korea, South",29970
2024-04-01,2024,4,"Korea, South",22820
2024-05-01,2024,5,"Korea, South",26980
2024-06-01,2024,6,"Korea, South",25050
2024-07-01,2024,7,"Korea, South",31090
2024-08-01,2024,8,"Korea, South",36140
2024-09-01,2024,9,"Korea, South",29910
2024-10-01,2024,10,"Korea, South",27510
2024-11-01,2024,11,"Korea, South",31730
2024-12-01,2024,12,"Korea, South",38130
2025-01-01,2025,1,"Korea, South",41210
2025-02-01,2025,2,"Korea, South",41680
2025-03-01,2025,3,"Korea, South",29160
2025-04-01,2025,4,"Korea, South",19540
2025-05-01,2025,5,"Korea, South",24140
2025-06-01,2025,6,"Korea, South",23300
2025-07-01,2025,7,"Korea, South",29720
2025-08-01,2025,8,"Korea, South",37000
2025-09-01,2025,9,"Korea, South",28570
2025-10-01,2025,10,"Korea, South",39730
2025-11-01,2025,11,"Korea, South",44760
2025-12-01,2025,12,"Korea, South",39630
2026-01-01,2026,1,"Korea, South",39840
2026-02-01,2026,2,"Korea, South",45130
1991-01-01,1991,1,Germany,6200
1991-02-01,1991,2,Germany,8580
1991-03-01,1991,3,Germany,6380
1991-04-01,1991,4,Germany,5870
1991-05-01,1991,5,Germany,3770
1991-06-01,1991,6,Germany,3140
1991-07-01,1991,7,Germany,6320
1991-08-01,1991,8,Germany,4080
1991-09-01,1991,9,Germany,6360
1991-10-01,1991,10,Germany,7840
1991-11-01,1991,11,Germany,8100
1991-12-01,1991,12,Germany,11060
1992-01-01,1992,1,Germany,7550
1992-02-01,1992,2,Germany,9330
1992-03-01,1992,3,Germany,7980
1992-04-01,1992,4,Germany,7200
1992-05-01,1992,5,Germany,4350
1992-06-01,1992,6,Germany,5100
1992-07-01,1992,7,Germany,6350
1992-08-01,1992,8,Germany,5740
1992-09-01,1992,9,Germany,6000
1992-10-01,1992,10,Germany,9370
1992-11-01,1992,11,Germany,8860
1992-12-01,1992,12,Germany,12060
1993-01-01,1993,1,Germany,8310
1993-02-01,1993,2,Germany,10080
1993-03-01,1993,3,Germany,11010
1993-04-01,1993,4,Germany,8090
1993-05-01,1993,5,Germany,5610
1993-06-01,1993,6,Germany,5360
1993-07-01,1993,7,Germany,8730
1993-08-01,1993,8,Germany,5830
1993-09-01,1993,9,Germany,7720
1993-10-01,1993,10,Germany,12950
1993-11-01,1993,11,Germany,10220
1993-12-01,1993,12,Germany,11680
1994-01-01,1994,1,Germany,11850
1994-02-01,1994,2,Germany,13120
1994-03-01,1994,3,Germany,13800
1994-04-01,1994,4,Germany,8740
1994-05-01,1994,5,Germany,5860
1994-06-01,1994,6,Germany,5470
1994-07-01,1994,7,Germany,10130
1994-08-01,1994,8,Germany,6650
1994-09-01,1994,9,Germany,8850
1994-10-01,1994,10,Germany,13470
1994-11-01,1994,11,Germany,12280
1994-12-01,1994,12,Germany,12470
1995-01-01,1995,1,Germany,11300
1995-02-01,1995,2,Germany,13390
1995-03-01,1995,3,Germany,12430
1995-04-01,1995,4,Germany,9390
1995-05-01,1995,5,Germany,6360
1995-06-01,1995,6,Germany,6120
1995-07-01,1995,7,Germany,9810
1995-08-01,1995,8,Germany,7460
1995-09-01,1995,9,Germany,10780
1995-10-01,1995,10,Germany,14640
1995-11-01,1995,11,Germany,10610
1995-12-01,1995,12,Germany,11900
1996-01-01,1996,1,Germany,10580
1996-02-01,1996,2,Germany,12470
1996-03-01,1996,3,Germany,13270
1996-04-01,1996,4,Germany,9380
1996-05-01,1996,5,Germany,6110
1996-06-01,1996,6,Germany,6340
1996-07-01,1996,7,Germany,9470
1996-08-01,1996,8,Germany,7140
1996-09-01,1996,9,Germany,9630
1996-10-01,1996,10,Germany,14030
1996-11-01,1996,11,Germany,12230
1996-12-01,1996,12,Germany,14750
1997-01-01,1997,1,Germany,12580
1997-02-01,1997,2,Germany,13020
1997-03-01,1997,3,Germany,12650
1997-04-01,1997,4,Germany,10160
1997-05-01,1997,5,Germany,6190
1997-06-01,1997,6,Germany,5530
1997-07-01,1997,7,Germany,9160
1997-08-01,1997,8,Germany,8560
1997-09-01,1997,9,Germany,9770
1997-10-01,1997,10,Germany,13520
1997-11-01,1997,11,Germany,12700
1997-12-01,1997,12,Germany,15030
1998-01-01,1998,1,Germany,12120
1998-02-01,1998,2,Germany,13990
1998-03-01,1998,3,Germany,13420
1998-04-01,1998,4,Germany,9890
1998-05-01,1998,5,Germany,6290
1998-06-01,1998,6,Germany,5760
1998-07-01,1998,7,Germany,8480
1998-08-01,1998,8,Germany,8820
1998-09-01,1998,9,Germany,8910
1998-10-01,1998,10,Germany,13480
1998-11-01,1998,11,Germany,12670
1998-12-01,1998,12,Germany,13550
1999-01-01,1999,1,Germany,12230
1999-02-01,1999,2,Germany,15750
1999-03-01,1999,3,Germany,12460
1999-04-01,1999,4,Germany,9410
1999-05-01,1999,5,Germany,6860
1999-06-01,1999,6,Germany,7200
1999-07-01,1999,7,Germany,9600
1999-08-01,1999,8,Germany,9080
1999-09-01,1999,9,Germany,10880
1999-10-01,1999,10,Germany,17490
1999-11-01,1999,11,Germany,14910
1999-12-01,1999,12,Germany,18630
2000-01-01,2000,1,Germany,14120
2000-02-01,2000,2,Germany,14730
2000-03-01,2000,3,Germany,13090
2000-04-01,2000,4,Germany,10600
2000-05-01,2000,5,Germany,7540
2000-06-01,2000,6,Germany,6500
2000-07-01,2000,7,Germany,9820
2000-08-01,2000,8,Germany,8220
2000-09-01,2000,9,Germany,14260
2000-10-01,2000,10,Germany,15460
2000-11-01,2000,11,Germany,14600
2000-12-01,2000,12,Germany,14320
2001-01-01,2001,1,Germany,13050
2001-02-01,2001,2,Germany,17860
2001-03-01,2001,3,Germany,14150
2001-04-01,2001,4,Germany,11000
2001-05-01,2001,5,Germany,7570
2001-06-01,2001,6,Germany,7230
2001-07-01,2001,7,Germany,12580
2001-08-01,2001,8,Germany,9580
2001-09-01,2001,9,Germany,11870
2001-10-01,2001,10,Germany,15980
2001-11-01,2001,11,Germany,13050
2001-12-01,2001,12,Germany,13690
2002-01-01,2002,1,Germany,11060
2002-02-01,2002,2,Germany,14440
2002-03-01,2002,3,Germany,12720
2002-04-01,2002,4,Germany,9700
2002-05-01,2002,5,Germany,6220
2002-06-01,2002,6,Germany,5870
2002-07-01,2002,7,Germany,10820
2002-08-01,2002,8,Germany,9090
2002-09-01,2002,9,Germany,11570
2002-10-01,2002,10,Germany,16240
2002-11-01,2002,11,Germany,14040
2002-12-01,2002,12,Germany,13040
2003-01-01,2003,1,Germany,11670
2003-02-01,2003,2,Germany,13850
2003-03-01,2003,3,Germany,13280
2003-04-01,2003,4,Germany,8860
2003-05-01,2003,5,Germany,6750
2003-06-01,2003,6,Germany,4840
2003-07-01,2003,7,Germany,12750
2003-08-01,2003,8,Germany,11120
2003-09-01,2003,9,Germany,11920
2003-10-01,2003,10,Germany,14440
2003-11-01,2003,11,Germany,12810
2003-12-01,2003,12,Germany,15600
2004-01-01,2004,1,Germany,12060
2004-02-01,2004,2,Germany,15550
2004-03-01,2004,3,Germany,13430
2004-04-01,2004,4,Germany,9140
2004-05-01,2004,5,Germany,6230
2004-06-01,2004,6,Germany,5950
2004-07-01,2004,7,Germany,11900
2004-08-01,2004,8,Germany,10470
2004-09-01,2004,9,Germany,11430
2004-10-01,2004,10,Germany,15900
2004-11-01,2004,11,Germany,14070
2004-12-01,2004,12,Germany,15630
2005-01-01,2005,1,Germany,12580
2005-02-01,2005,2,Germany,15680
2005-03-01,2005,3,Germany,14890
2005-04-01,2005,4,Germany,9200
2005-05-01,2005,5,Germany,6690
2005-06-01,2005,6,Germany,6340
2005-07-01,2005,7,Germany,13650
2005-08-01,2005,8,Germany,11800
2005-09-01,2005,9,Germany,12170
2005-10-01,2005,10,Germany,15830
2005-11-01,2005,11,Germany,14330
2005-12-01,2005,12,Germany,15900
2006-01-01,2006,1,Germany,13890
2006-02-01,2006,2,Germany,16000
2006-03-01,2006,3,Germany,14730
2006-04-01,2006,4,Germany,11370
2006-05-01,2006,5,Germany,6770
2006-06-01,2006,6,Germany,6840
2006-07-01,2006,7,Germany,12100
2006-08-01,2006,8,Germany,11840
2006-09-01,2006,9,Germany,12230
2006-10-01,2006,10,Germany,15550
2006-11-01,2006,11,Germany,14120
2006-12-01,2006,12,Germany,16400
2007-01-01,2007,1,Germany,13330
2007-02-01,2007,2,Germany,16990
2007-03-01,2007,3,Germany,15940
2007-04-01,2007,4,Germany,9840
2007-05-01,2007,5,Germany,7100
2007-06-01,2007,6,Germany,7270
2007-07-01,2007,7,Germany,14000
2007-08-01,2007,8,Germany,11800
2007-09-01,2007,9,Germany,12730
2007-10-01,2007,10,Germany,15330
2007-11-01,2007,11,Germany,14390
2007-12-01,2007,12,Germany,17680
2008-01-01,2008,1,Germany,14540
2008-02-01,2008,2,Germany,17280
2008-03-01,2008,3,Germany,17040
2008-04-01,2008,4,Germany,10640
2008-05-01,2008,5,Germany,6930
2008-06-01,2008,6,Germany,8270
2008-07-01,2008,7,Germany,17220
2008-08-01,2008,8,Germany,12020
2008-09-01,2008,9,Germany,12950
2008-10-01,2008,10,Germany,15380
2008-11-01,2008,11,Germany,14320
2008-12-01,2008,12,Germany,19280
2009-01-01,2009,1,Germany,13200
2009-02-01,2009,2,Germany,17940
2009-03-01,2009,3,Germany,15210
2009-04-01,2009,4,Germany,11230
2009-05-01,2009,5,Germany,7470
2009-06-01,2009,6,Germany,7060
2009-07-01,2009,7,Germany,14320
2009-08-01,2009,8,Germany,12780
2009-09-01,2009,9,Germany,13270
2009-10-01,2009,10,Germany,16380
2009-11-01,2009,11,Germany,15540
2009-12-01,2009,12,Germany,20960
2010-01-01,2010,1,Germany,14760
2010-02-01,2010,2,Germany,18060
2010-03-01,2010,3,Germany,17480
2010-04-01,2010,4,Germany,9900
2010-05-01,2010,5,Germany,7550
2010-06-01,2010,6,Germany,6930
2010-07-01,2010,7,Germany,14340
2010-08-01,2010,8,Germany,12070
2010-09-01,2010,9,Germany,13740
2010-10-01,2010,10,Germany,16250
2010-11-01,2010,11,Germany,15320
2010-12-01,2010,12,Germany,19810
2011-01-01,2011,1,Germany,15260
2011-02-01,2011,2,Germany,18500
2011-03-01,2011,3,Germany,15810
2011-04-01,2011,4,Germany,10530
2011-05-01,2011,5,Germany,7390
2011-06-01,2011,6,Germany,7260
2011-07-01,2011,7,Germany,12460
2011-08-01,2011,8,Germany,11740
2011-09-01,2011,9,Germany,12800
2011-10-01,2011,10,Germany,15660
2011-11-01,2011,11,Germany,14270
2011-12-01,2011,12,Germany,18730
2012-01-01,2012,1,Germany,13830
2012-02-01,2012,2,Germany,19000
2012-03-01,2012,3,Germany,15230
2012-04-01,2012,4,Germany,10050
2012-05-01,2012,5,Germany,6800
2012-06-01,2012,6,Germany,6540
2012-07-01,2012,7,Germany,12460
2012-08-01,2012,8,Germany,11800
2012-09-01,2012,9,Germany,13060
2012-10-01,2012,10,Germany,16380
2012-11-01,2012,11,Germany,15550
2012-12-01,2012,12,Germany,20040
2013-01-01,2013,1,Germany,14350
2013-02-01,2013,2,Germany,19320
2013-03-01,2013,3,Germany,16340
2013-04-01,2013,4,Germany,10560
2013-05-01,2013,5,Germany,7060
2013-06-01,2013,6,Germany,7490
2013-07-01,2013,7,Germany,13000
2013-08-01,2013,8,Germany,12470
2013-09-01,2013,9,Germany,14040
2013-10-01,2013,10,Germany,16660
2013-11-01,2013,11,Germany,15960
2013-12-01,2013,12,Germany,22840
2014-01-01,2014,1,Germany,15850
2014-02-01,2014,2,Germany,21530
2014-03-01,2014,3,Germany,17260
2014-04-01,2014,4,Germany,12700
2014-05-01,2014,5,Germany,8760
2014-06-01,2014,6,Germany,6590
2014-07-01,2014,7,Germany,13750
2014-08-01,2014,8,Germany,14060
2014-09-01,2014,9,Germany,14410
2014-10-01,2014,10,Germany,18160
2014-11-01,2014,11,Germany,16580
2014-12-01,2014,12,Germany,24090
2015-01-01,2015,1,Germany,17070
2015-02-01,2015,2,Germany,19470
2015-03-01,2015,3,Germany,19430
2015-04-01,2015,4,Germany,11720
2015-05-01,2015,5,Germany,8890
2015-06-01,2015,6,Germany,7170
2015-07-01,2015,7,Germany,13330
2015-08-01,2015,8,Germany,13650
2015-09-01,2015,9,Germany,14560
2015-10-01,2015,10,Germany,19130
2015-11-01,2015,11,Germany,17080
2015-12-01,2015,12,Germany,23780
2016-01-01,2016,1,Germany,17190
2016-02-01,2016,2,Germany,21920
2016-03-01,2016,3,Germany,20690
2016-04-01,2016,4,Germany,12210
2016-05-01,2016,5,Germany,8850
2016-06-01,2016,6,Germany,7650
2016-07-01,2016,7,Germany,14590
2016-08-01,2016,8,Germany,13960
2016-09-01,2016,9,Germany,15150
2016-10-01,2016,10,Germany,21900
2016-11-01,2016,11,Germany,18640
2016-12-01,2016,12,Germany,26510
2017-01-01,2017,1,Germany,20210
2017-02-01,2017,2,Germany,22790
2017-03-01,2017,3,Germany,21600
2017-04-01,2017,4,Germany,15200
2017-05-01,2017,5,Germany,9470
2017-06-01,2017,6,Germany,8080
2017-07-01,2017,7,Germany,14070
2017-08-01,2017,8,Germany,13420
2017-09-01,2017,9,Germany,15670
2017-10-01,2017,10,Germany,21330
2017-11-01,2017,11,Germany,18850
2017-12-01,2017,12,Germany,27660
2018-01-01,2018,1,Germany,19350
2018-02-01,2018,2,Germany,24490
2018-03-01,2018,3,Germany,22620
2018-04-01,2018,4,Germany,13060
2018-05-01,2018,5,Germany,9390
2018-06-01,2018,6,Germany,8170
2018-07-01,2018,7,Germany,15390
2018-08-01,2018,8,Germany,12780
2018-09-01,2018,9,Germany,15380
2018-10-01,2018,10,Germany,19040
2018-11-01,2018,11,Germany,18580
2018-12-01,2018,12,Germany,28870
2019-01-01,2019,1,Germany,18690
2019-02-01,2019,2,Germany,26230
2019-03-01,2019,3,Germany,21970
2019-04-01,2019,4,Germany,13450
2019-05-01,2019,5,Germany,9240
2019-06-01,2019,6,Germany,8350
2019-07-01,2019,7,Germany,14610
2019-08-01,2019,8,Germany,13190
2019-09-01,2019,9,Germany,14420
2019-10-01,2019,10,Germany,18960
2019-11-01,2019,11,Germany,18600
2019-12-01,2019,12,Germany,29380
2020-01-01,2020,1,Germany,18510
2020-02-01,2020,2,Germany,21990
2020-03-01,2020,3,Germany,11770
2020-04-01,2020,4,Germany,170
2020-05-01,2020,5,Germany,20
2020-06-01,2020,6,Germany,70
2020-07-01,2020,7,Germany,60
2020-08-01,2020,8,Germany,30
2020-09-01,2020,9,Germany,50
2020-10-01,2020,10,Germany,110
2020-11-01,2020,11,Germany,140
2020-12-01,2020,12,Germany,110
2021-01-01,2021,1,Germany,120
2021-02-01,2021,2,Germany,110
2021-03-01,2021,3,Germany,150
2021-04-01,2021,4,Germany,120
2021-05-01,2021,5,Germany,180
2021-06-01,2021,6,Germany,140
2021-07-01,2021,7,Germany,150
2021-08-01,2021,8,Germany,80
2021-09-01,2021,9,Germany,70
2021-10-01,2021,10,Germany,60
2021-11-01,2021,11,Germany,310
2021-12-01,2021,12,Germany,1630
2022-01-01,2022,1,Germany,1300
2022-02-01,2022,2,Germany,2130
2022-03-01,2022,3,Germany,4690
2022-04-01,2022,4,Germany,4740
2022-05-01,2022,5,Germany,3500
2022-06-01,2022,6,Germany,3450
2022-07-01,2022,7,Germany,6800
2022-08-01,2022,8,Germany,7100
2022-09-01,2022,9,Germany,8500
2022-10-01,2022,10,Germany,12020
2022-11-01,2022,11,Germany,12230
2022-12-01,2022,12,Germany,18890
2023-01-01,2023,1,Germany,12370
2023-02-01,2023,2,Germany,17970
2023-03-01,2023,3,Germany,16510
2023-04-01,2023,4,Germany,9610
2023-05-01,2023,5,Germany,6520
2023-06-01,2023,6,Germany,6120
2023-07-01,2023,7,Germany,10530
2023-08-01,2023,8,Germany,9710
2023-09-01,2023,9,Germany,10460
2023-10-01,2023,10,Germany,14700
2023-11-01,2023,11,Germany,14740
2023-12-01,2023,12,Germany,22630
2024-01-01,2024,1,Germany,15340
2024-02-01,2024,2,Germany,19580
2024-03-01,2024,3,Germany,20280
2024-04-01,2024,4,Germany,10140
2024-05-01,2024,5,Germany,7040
2024-06-01,2024,6,Germany,6010
2024-07-01,2024,7,Germany,10370
2024-08-01,2024,8,Germany,10100
2024-09-01,2024,9,Germany,11410
2024-10-01,2024,10,Germany,15620
2024-11-01,2024,11,Germany,16260
2024-12-01,2024,12,Germany,26430
2025-01-01,2025,1,Germany,16590
2025-02-01,2025,2,Germany,19800
2025-03-01,2025,3,Germany,19240
2025-04-01,2025,4,Germany,12020
2025-05-01,2025,5,Germany,7350
2025-06-01,2025,6,Germany,6220
2025-07-01,2025,7,Germany,11600
2025-08-01,2025,8,Germany,12530
2025-09-01,2025,9,Germany,12380
2025-10-01,2025,10,Germany,17100
2025-11-01,2025,11,Germany,17810
2025-12-01,2025,12,Germany,26860
2026-01-01,2026,1,Germany,18110
2026-02-01,2026,2,Germany,22090
1991-01-01,1991,1,France,1820
1991-02-01,1991,2,France,1440
1991-03-01,1991,3,France,1430
1991-04-01,1991,4,France,1340
1991-05-01,1991,5,France,1090
1991-06-01,1991,6,France,1660
1991-07-01,1991,7,France,2530
1991-08-01,1991,8,France,2060
1991-09-01,1991,9,France,1510
1991-10-01,1991,10,France,2110
1991-11-01,1991,11,France,2670
1991-12-01,1991,12,France,3020
1992-01-01,1992,1,France,2180
1992-02-01,1992,2,France,1780
1992-03-01,1992,3,France,1890
1992-04-01,1992,4,France,1440
1992-05-01,1992,5,France,1080
1992-06-01,1992,6,France,1190
1992-07-01,1992,7,France,3040
1992-08-01,1992,8,France,2780
1992-09-01,1992,9,France,1930
1992-10-01,1992,10,France,2280
1992-11-01,1992,11,France,2490
1992-12-01,1992,12,France,3270
1993-01-01,1993,1,France,2770
1993-02-01,1993,2,France,2330
1993-03-01,1993,3,France,2040
1993-04-01,1993,4,France,2110
1993-05-01,1993,5,France,1820
1993-06-01,1993,6,France,1270
1993-07-01,1993,7,France,3410
1993-08-01,1993,8,France,3520
1993-09-01,1993,9,France,2390
1993-10-01,1993,10,France,2650
1993-11-01,1993,11,France,3180
1993-12-01,1993,12,France,3510
1994-01-01,1994,1,France,2830
1994-02-01,1994,2,France,2850
1994-03-01,1994,3,France,2460
1994-04-01,1994,4,France,2150
1994-05-01,1994,5,France,1540
1994-06-01,1994,6,France,1640
1994-07-01,1994,7,France,4890
1994-08-01,1994,8,France,3640
1994-09-01,1994,9,France,2530
1994-10-01,1994,10,France,3210
1994-11-01,1994,11,France,3300
1994-12-01,1994,12,France,3480
1995-01-01,1995,1,France,3470
1995-02-01,1995,2,France,3600
1995-03-01,1995,3,France,2700
1995-04-01,1995,4,France,2260
1995-05-01,1995,5,France,1790
1995-06-01,1995,6,France,1700
1995-07-01,1995,7,France,5040
1995-08-01,1995,8,France,3440
1995-09-01,1995,9,France,2340
1995-10-01,1995,10,France,3020
1995-11-01,1995,11,France,2740
1995-12-01,1995,12,France,3100
1996-01-01,1996,1,France,2520
1996-02-01,1996,2,France,2600
1996-03-01,1996,3,France,2630
1996-04-01,1996,4,France,2130
1996-05-01,1996,5,France,1910
1996-06-01,1996,6,France,1810
1996-07-01,1996,7,France,4240
1996-08-01,1996,8,France,3760
1996-09-01,1996,9,France,2740
1996-10-01,1996,10,France,3840
1996-11-01,1996,11,France,3110
1996-12-01,1996,12,France,3660
1997-01-01,1997,1,France,3990
1997-02-01,1997,2,France,3820
1997-03-01,1997,3,France,2900
1997-04-01,1997,4,France,2260
1997-05-01,1997,5,France,1910
1997-06-01,1997,6,France,2610
1997-07-01,1997,7,France,4860
1997-08-01,1997,8,France,3840
1997-09-01,1997,9,France,2910
1997-10-01,1997,10,France,3510
1997-11-01,1997,11,France,3270
1997-12-01,1997,12,France,4120
1998-01-01,1998,1,France,3570
1998-02-01,1998,2,France,3470
1998-03-01,1998,3,France,2920
1998-04-01,1998,4,France,2550
1998-05-01,1998,5,France,1910
1998-06-01,1998,6,France,2110
1998-07-01,1998,7,France,5300
1998-08-01,1998,8,France,4170
1998-09-01,1998,9,France,3840
1998-10-01,1998,10,France,3880
1998-11-01,1998,11,France,4390
1998-12-01,1998,12,France,4860
1999-01-01,1999,1,France,4030
1999-02-01,1999,2,France,4310
1999-03-01,1999,3,France,3440
1999-04-01,1999,4,France,3300
1999-05-01,1999,5,France,2330
1999-06-01,1999,6,France,2330
1999-07-01,1999,7,France,6380
1999-08-01,1999,8,France,4460
1999-09-01,1999,9,France,3450
1999-10-01,1999,10,France,4320
1999-11-01,1999,11,France,5110
1999-12-01,1999,12,France,5680
2000-01-01,2000,1,France,5000
2000-02-01,2000,2,France,4980
2000-03-01,2000,3,France,3880
2000-04-01,2000,4,France,3970
2000-05-01,2000,5,France,3140
2000-06-01,2000,6,France,3150
2000-07-01,2000,7,France,6250
2000-08-01,2000,8,France,5450
2000-09-01,2000,9,France,5950
2000-10-01,2000,10,France,5290
2000-11-01,2000,11,France,5250
2000-12-01,2000,12,France,5020
2001-01-01,2001,1,France,3700
2001-02-01,2001,2,France,4840
2001-03-01,2001,3,France,3770
2001-04-01,2001,4,France,3440
